Trial 1: Pick corn from location 7, place at location 2
Trial 2: Pick green pepper from location 7, place at location 6
Trial 3: Pick carrot from location 2, place at location 8
Trial 4: Pick green apple from location 3, place at location 9
Trial 5: Pick strawberry from location 7, place at location 3
Trial 6: Pick orange from location 6, place at location 8
Trial 7: Pick tomato from location 4, place at location 6
Trial 8: Pick banana from location 4, place at location 8
Trial 9: Pick eggplant from location 3, place at location 1
Trial 10: Pick grape from location 8, place at location 3
Trial 11: Pick corn from location 8, place at location 7
Trial 12: Pick green pepper from location 4, place at location 1
Trial 13: Pick carrot from location 9, place at location 8
Trial 14: Pick green apple from location 4, place at location 9
Trial 15: Pick strawberry from location 3, place at location 2
Trial 16: Pick orange from location 5, place at location 3
Trial 17: Pick tomato from location 5, place at location 2
Trial 18: Pick banana from location 1, place at location 6
Trial 19: Pick eggplant from location 1, place at location 5
Trial 20: Pick grape from location 5, place at location 9
