Trial 1: Pick green pepper from location 7, place at location 2, rotation degree 90
Trial 2: Pick green apple from location 6, place at location 2, rotation degree 90
Trial 3: Pick cucumber from location 3, place at location 9, rotation degree 30
Trial 4: Pick grape from location 3, place at location 4, rotation degree 45
Trial 5: Pick eggplant from location 6, place at location 8, rotation degree 45
Trial 6: Pick lemon from location 6, place at location 4, rotation degree 180
Trial 7: Pick strawberry from location 3, place at location 1, rotation degree 60
Trial 8: Pick carrot from location 3, place at location 8, rotation degree 90
Trial 9: Pick corn from location 4, place at location 1, rotation degree 30
Trial 10: Pick banana from location 8, place at location 4, rotation degree 180
Trial 11: Pick green pepper from location 3, place at location 2, rotation degree 60
Trial 12: Pick green apple from location 3, place at location 5, rotation degree 30
Trial 13: Pick cucumber from location 1, place at location 6, rotation degree 180
Trial 14: Pick grape from location 9, place at location 2, rotation degree 45
Trial 15: Pick eggplant from location 5, place at location 7, rotation degree 60
Trial 16: Pick lemon from location 8, place at location 2, rotation degree 180
Trial 17: Pick strawberry from location 7, place at location 8, rotation degree 45
Trial 18: Pick carrot from location 8, place at location 5, rotation degree 60
Trial 19: Pick corn from location 6, place at location 1, rotation degree 90
Trial 20: Pick banana from location 3, place at location 8, rotation degree 30
